,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_855752100bbb0729,Chicago,data+engineer,Data Engineer,"SMS Assist, LLC",NOT_FOUND,"The Data Engineer role has to work across the following areas:. The Data Engineer is responsible for applying your expertise in quantitative analysis, database...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Azf24ceGmJeoddGoGdtujU3GsUDah2gM-7e14s1pjaUtWzN6BvzuI23xYyb0EFlptM3Z-IlhvplofC_UCW5N1BylJ09zu1Mhg-7Pl0_MBfxJYc-4mZvrdPYCjzoVIQquk2Fjdx89yWB2mykO63U1xDW110rIJ4bQ0o7JNRt8RGjhm5LmGjNK2mI5pcvWpC4-e4_FT9JHa8UO4yKxtvS6gNdMiI-KtMfXR8uyt2VkRUtIpET9PCaG4Dbek0r_-TFByKMhrgr9ADcdHbavVjhUQlVFyI-ZJpMmkcoTKlXOBq1sz2CxYVe7WMhsjhohn5h_8XBQMxh9rT53UXBDqsnCj2bbhSo6BvAr_XeCiv5SQaPxR2uWci8fUSONy99tRDpJj0-dkyMB2mhSJw1qVoVB7fGBbyZqqx4NPKwuJwBiGK9K6rBft68XtSGH1kxW9xYb7cKnbXZD7c2bKDmN81DFAdCyDOQCTru0oNDAAtvIOOfVgJ1DX9MYekLB8zm6IoC90rEDx85h9St_DPC_zUVfYp_FL3rD9PtoPKEhWYCG7XWw==&p=0&fvj=0&vjs=3,NOT_FOUND
2,pj_ae4a0328702cef77,Chicago,data+engineer,Data Processing Engineer (Junior),The Core Organization,NOT_FOUND,"Data Processing Engineer (Junior)*. Our engineers are responsible for completing daily data processing activities, including postal processing, report creation...","
                $30,000 - $45,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D109no4bUrp723nlI1tSXCTvb0XOsNkQXy7jovH4rRrY1-IyUTA5v_KG5b-WEFtyHRZQ67fO6AnuNZ1djwIac_QwQBvD04PcLdtQXglzpm90PmI4E8ztEhyf35Y_N-SOOVEglttXij5t60vF86E4LIqsH0Xkrcg9kGZp2oHaUeFalqtMShzx6b9GPwr3UGh62bx9tOsAhfPMJDz0hCaRTxe5hyX4BllDmhtioorXBVtvdZRLTzWppSKVsoxC2b7G2J6KYY3Ui2ZL6lwzT5NOk1M2m63c3C9gXn1bTTMdEUKp2QGLtcSoJdiot0q7F9EYbb5-EIaXZIf0VaVhcSPfnLBk3aSGpZcqg4CSgqLcPLjyaEBHQlMmajswNM51Ga3YOnbYkqhXlUFA1f32X4Fkej7PT6IKEdsNUuRm5VGQkGyHPrUVfGQKFniUVrYaF6OWM=&p=1&fvj=1&vjs=3,NOT_FOUND
3,pj_7f40752a3ac8760e,Chicago,data+engineer,Associate Engineer,"Reserve Advisors, Inc.",NOT_FOUND,"Become familiarized with the schedule, routine and work process of Associate Engineers, Engineers, Senior Engineers and the Regional Engineering Manager....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BFkco8LjqT1MbDJiWVxr_1paC57h1MBS10z5Tk1ROgt-jslHd9gnKOLDkjGxJO6o0M-CU7velqRChL-wKiA0gdnvEM5BWYA-gzYPJYz2T04AyizCvSUDYFPyVSygmfKxxQk3DjUIxeihwpzK7dsKjynXlim3Ai0RUUNP7dEonkCQq3eeVOQJuTr_XPUTxHX0mH-tfoUOXeREc34FYaR4qv2tExK44owO4DCnh4BkQ38qkgxFynl2wkdycmnHxQK3oVysU2DH4lTpRB2mSAbQoRQoVwCjzeJR9NID5zuTbNc4ItmGJnu-kMIWJ2MUuVVpVluWZIoIxaQh8dSveBkYaWP6vB-vvIlsoCR8-vcQy8BGZHfTFzxBk7bVltqF7JrXW8UrvMhpS0KGCTcjt2jLhlqdYgtg8pCLIJM4-iMOAjcMVmHoABR_iE&p=2&fvj=1&vjs=3,NOT_FOUND
4,pj_4eb4a3b474554cff,Chicago,data+engineer,Sr. Data Engineer,Echo Global Logistics,NOT_FOUND,"Data Engineer's work in conjunction with Software Engineers, DBA's, Business Analysts, Quality Assurance and business owners....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BTjlGj5JvLfH__h7ZRGeXDIcGXy_3l5WUsOynPPMXwb1WFCX8IUjj39FR922UkfvttvhoYJSd-Y5JyFHDVoRkqYH0BQ_n3-Tzemr4_p8mBHMMJBSsyWPFL_PKBWuov6zmIiglU0TLh094CVJizK7qk2B5-4OY8ndw6TVtbDqThRJ24P_0ROTjbo3VNz58Erf3sQ65JRC5MhPCI4F_2mHe6eJ2oGN9Z-F2BbycgvyW1D3PSrWxWPYdx1gp9sM1VHLiWGCtAZpMJ88sM2Uh2z0GCzEiEDmSk4YvIyxh6jQTnWeWSCCNQysz6eJf8h5RbGCAZH87SFQAHXllAlUwS_UVDnFmPeomkZXOjfRfgRSFoQ3wYbacfesqoWxkyJAtdoJ4=&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_7c48becb5f622b2e,Chicago,data+engineer,SQL Server Data Engineer,Paul May & Associates,NOT_FOUND,"SQL Server Data Engineer. Data Engineer’s work in conjunction with Software Engineers, DBA’s, Business Analysts, Quality Assurance and business owners....","
                $100,000 - $145,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AtmmgL-6xvNJ2TgfBOZULzFUyk3B45PtfzaCI94ECTxCQ4YqVW-kqsqhBVKZtXnQdzzbF-I5KZVa_5WBIpDW_npQKNek2lnOsdrW2ZwfNcMSGFJEUQPk42GN_t8dWeCXFy0zdg3awWmzCSTqqti4sbSpiBVApmjBsw5WTQnU1KqdEhHok9QZjRe_yVgsvH5GX1T6Bl350m44DnIz9IzI5QIP_cHIIL8BY0LmdrNukh39WmaSXba-8GiEhA6DDU7YWRI2Pb-Qy0_o84_6AWF1-YWCdIclnuOTGOaqtbR0fVoVjs8RJSISkUFV8A-VKSMImilasWyOzJWyGLzilKERM9RYRxS-rgW7HNlqo8_Bn5IyzLNTf3tIKF3NT5ftYWO4QtzHsbaTujxxwxVeQuMdOnBvUF5YaKUmWiZdrVDfCYL8SWr29aWLIAl8j0oXcANQQPZFDBkiTSqg==&p=4&fvj=1&vjs=3,NOT_FOUND
6,pj_5ccf5672b182ceb5,Chicago,data+engineer,Data Engineer,PNC Financial Services Group,NOT_FOUND,"Data Architecture - Basic Experience. As a Data Engineer (hadoop) within PNC's Technology and Innovation organization, can be based in Pittsburgh, PA;...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AMofH_6zXbiqn6xehDj89HQNfpf30LHk40Y3Yl5cZTpi6PEICC7pMg_HwfIsLXdbvkgu7vi_4YTkgWbL4IKBUhhQ7ZuqFeuMv7_baf-YYF56L64RzKVhfQGZmOphXDIi4FX7Ol2hMoLOll6hIjxNXjKiL7H0ZNLEbipdCzjrjbuEUYCRZjw4z2YB3guu6i2HaAtX8R4mtbe8RMzhU4s0AOW2lW_JIFBXrpqXCYhXA9fssNrzTgn9Uy2yQT9Hufkjlm2YhHbBQbl0LNpWA2R81lanKpiJKhjKc5S8TaDkyI8Y9me3-WRjsJHm26tIzEgYZUyQ9hJCKGw9XJR3rNflQTd-d03EhajHhiQV347jB46Y2hTRrDgxPRVYmX_kvGT2y_zigil8SJhZNr0sfZ_5RndxxWvilwZ1o=&p=5&fvj=0&vjs=3,2 days ago
7,pj_2c215f92714781ae,Chicago,data+engineer,"""Guide"" Telephone Representative (Remote)",ASSURANCE,NOT_FOUND,"Our team of engineers, data scientists, marketers, architects, and designers are building systems using advanced science to make humans better....","
                $15 - $45 an hour",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ay34pLxNpM2b2APydG9FPHc7HhqjeNrk9_gDXaaFM3GhdpWVlroe6JqlZhsdxePfrzEmlIgeNT-LieXQ_0S4twn9Vntij7WrPilgoX9MGRYct7gZaSdEdS8GDbJULchIY1I4N3wXqKV1nSAlQCg_eCpBExIpCpGLqF30KI1-Q6plGEBtCadJL1HUZlg8HYMf4bnk6YaOWeE5l2sS3inLv8izl_T07AsyPY_Y-GfzaEybiiKzVIGgwWSCYvH09HCLqEODBLDDsszhe5khbNJqHOeygWuKOiZ-lbDmctT3pfFtnBZzs724rTOPEvJfHUeFCTIwJhR49yEjSWAD05CbJvpOEXq0TjnQLL6i-rB1CJ-M_bnJTBu1epQ8TZrK_psx3YS-Q5cfsQ2xfw_os3HF7pO2-thu3S2qZsr7It0vu689wx49xAFEYS&p=6&fvj=1&vjs=3,NOT_FOUND
8,pj_c632718fa83e640a,Chicago,data+engineer,Lead Data Engineer,HNI Corporation,NOT_FOUND,"As a member of the Decision Science team located in Chicago, the Lead Data Engineer will play a crucial role in building HNI’s data engineering team....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Atbdg0bKLfsMf-XrvW-mGXYBBmUmFJMxfHxiCcZI386bZZErgOHOnp8FGa_pu4CvDiJ18akOtGXIcWt4o_UOHlr_NHfLUXRM2vfIvrSc12_M5D0ryuBSpn2sRGnfbPTkizXFvjuUoCFjHFN8NI1b_tO8rYDq_4PTkhJ0pFuwFNe90Fjb8O_iOfniDpBI29n-GwRhWJCa7qprAhRQdfrddz5u5gX9loN4tJBA2QcO2ieBse7FTvs9VFrKAEfdy78NHeuzF84vwbtkHXQhk9YrU2ZXedyp-YCkA0Yov3aaPdNBTvF8hywwnn28A7tBsNjsA3Pqse4yqJxHQdJ9NEdBDmHwGY_i1zZyIVe0vT7Hxx-lupNiz6HTigehiOc7SKYHRyzUTvGMVMz2UiBOm01pK05fXAcbO-I8NYpTSZOiph46-t9UZFFOxF&p=7&fvj=1&vjs=3,NOT_FOUND
9,p_632ce24625fbe2aa,Chicago,data+engineer,"Associate, Data Engineer",KPMG,"Chicago, IL 60290 (Loop area)",A minimum of three years' experience working as a data engineer. Support build of big data environments that enable analytics solutions on a variety of big data...,NOT_FOUND,https://www.indeed.com/rc/clk?jk=632ce24625fbe2aa&fccid=2dd390c3a48a7ed0&vjs=3,9 days ago
10,p_802beea8c06b197f,Chicago,data+engineer,Data Engineer,Molex,"Chicago, IL 60606 (Loop area)",Build and maintain a robust data collection system that reaches across multiple sources and data marts. Molex is looking for a Data Engineer for our real-time...,NOT_FOUND,https://www.indeed.com/rc/clk?jk=802beea8c06b197f&fccid=de113fe345574782&vjs=3,5 days ago
