,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_eba1a24b2410877b,Chicago,business+analyst,Analyst – Strategy and Business Development – Tech Startup,Enterprise Peak,NOT_FOUND,"Analyst – Strategy and Business Development – Responsibilities:. Of professional experience in business development, technology or strategy....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B0vl1Grz6052MlZg4RHGvuu6cYfkm88-BD1wPi7_xD2Y3GkfwG5etXuY4auJSbrl_2pEnSFDWzPK3-n4vU6A87BTmAt87zgfpDLyWfgvZKM7tzB-zN938bS5DnhAcalAVROVoVpwOQ57YaLhXRS_rImBK5WeYSbkdklLwrwM4N8WBHkbaMvt2ZyAb9UMV8KGrKhvs1H4m-GUDfevRY3KzUqNt7vdzJDJ1jyjSL4DbRTrPU2jSdj0P40zbt2uaOx-3Z4PRSiDYO6jcXAd-AwG5wYlk4ys4_HH-RlLoDxod931L3sjyCHHodHHKDvaWmeEnhvAVYK93me6a1TmHBSNjXI4GAbDBS43dW4OhnNnYwAIeh5R6EwuSO1KVFMnhAu8vYfTrjgXQxeVAl9lHva4f2y3C-hWn7HQRYEv9sszLnPBwZkWXdg3cGpxRkCk8PwzPtnbJyvi8pKtqcU46Vqzual_zz8R2VhXg=&p=0&fvj=1&vjs=3,NOT_FOUND
2,pj_47f7830367a86c07,Chicago,business+analyst,Business Analyst,PCMI Corporation,NOT_FOUND,The Business Analyst is responsible for reviewing assigned business processes from end-to-end. 2-4 years prior experience in a Business Analyst role....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B3ZTyI1Hljm6wvKfsBMMtNR89vRE52MyuUldfnLWwAaXEKLi3flA6ejbAYWyeMH3Tw0lAsz0q9jmuzUMv_S4-KALI9ryNDYG1gp0TZXwnoq2fqr1boQesPQ3oNKkBZuA7SQSkMIn29tiUGWfzFLFhHbYbgvrAgvyVzoXR_t_uKGqGoWha1NW1lVLrcer3D7nO4luaMefxbxZbRWaWKtXihq6eDuMpMbVakOSL0HriksVZZKziEsz78gdLyAwJjXkoFP8_p9WOR2Jqau_C--v3X2XPT8gT5pQhQYE5WHQOmIk-GUHi1czmWfXi5SgT0XHuGYb1KXa9VN1MTN3h5AmHoYg173gpuOw5fkdy2pe1uDB_oCZXNDpm0RWjnhYfnCwaXVBPXimqPu6hBFS02G4AJHiZnr8SejLzbUcNAQzvhnA==&p=1&fvj=1&vjs=3,NOT_FOUND
3,pj_fc1266929a4a953f,Chicago,business+analyst,Business Analyst,"Yoh, A Day & Zimmermann Company",NOT_FOUND,"4-6 years’ experience as a Business Analyst. Business Analyst needed for a contract opportunity with Yoh’s client located in Chicago, IL!...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DK_2vZ9EgcAccGC6GsNncjWNqkq9sVUS_FbvEJI1Nrv_ofcc5MGKLsZzLrqwWzH_nBPqANe4uXrczbFuc3WI9KwDqzelBqdUif0F_QwDFCzZLSv-rZXI5U6VNXNhhUhAazgFGS6BFrYtqt09LUUlAdbs_rFvZ0auJPRnI4xF9fmO93AZkslgqE3t_q2orZn544ykpi66FlD06nmts8c97eepGOc4IkGJ7rMXbEPvtOwZZhFXETrND84T4EDsWuKPtLKwsRRmRePx0-w3fIV68TJ67OdtQYkjtgFfDyW5r3uPNiajbYdwE5E2nefwu6a9g9sLhwalEaLbExqWvdYwfVkVSMO3LAdBfwJMRs0BsP-5AmeBTZKPhLHHOMYLWKRlq-neOoaYol4B-seTRbRiRePjwsrfGnuhTJoTib3gdgPxKDOEdVyQ1I&p=2&fvj=0&vjs=3,NOT_FOUND
4,pj_e7519628bcc97a07,Chicago,business+analyst,Business Analyst - Telecom,Pegasus Knowledge Solutions,NOT_FOUND,"Serves as primary contact between technology and business end-users in understanding the specific business requirements, criticality and prioritization of...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BlDjqqQdl65rZW6VJDshyxVflWgdT-HEBt3zXmHRd9iP6TMe9uGjeF8-mPk9cdATc1-cHkXBbHxI5GDSb0ivG6QJdPmBJdEcVXFOPTNtxIUNjgvxIp6QRjhTMLvcPNMqPO_nwFibirm7ebD8YQXgw34VqtCoVLwLFZk-DsrQOsA_gzaI3AKO7eZCxoY6L3AaKldFxE78jxP-p5Rw92FhxGPtDim89CKaizNpjuwRKzPzKKr95XXEi3nbl0qfIjpyvgD9TOg0pXkPPYFPW6UYjT3qtJpVcPONCZmtsITZGFlZlLsxCK9Z733MivI1YFNUIjvQbxHXdkAr98Q9fImPfcT7kw6d97ad9jJjm_mVO5-uG8iSQJsaNMawiKd0Qgthnq2mrNptIM50qseoivPfOcyjtIeqB-3AQiBS49kvWHHzCCZRx6xmufR_jySpZg-R5nl7eA5y7-RMGiW9K0KYk6-EGhBwNp5S9KsRJ5aBHcxbs0YKLdo_mc5DD4i62999rmPRnqU-J0HFI47g3yHeSD&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_9a896b01bc05d070,Chicago,business+analyst,UI/UX Business Analyst,The William Everett Group,NOT_FOUND,"The UX/UI Business Analyst. In this position, the UI/UX Business Analyst. Technical Business Analyst, Web Project Management/Operations, Internet...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfZT4QnqlOfxlxUoWrxdsbwlrx7HlbwmJy-j1Nr0qPY70R5SWqkJEO-gh7s7L5OT03czVhzeIIZj3Bl3PSr2qZshYVjsjNSVUHTE4FadTi5-49JNZPfcRHEDJWkEuUUGMMXKZ183P-B3_bzMf18j0TFZW7pfmhtF0RB-6Apr224Kto2P2L2A7gB_g1z-nQSCxLLUh96IM7VgtQttX0Ix91OlI_4mxYRGENZVYgYIqRNgFDbPQIC4MyBbDVlXfcV51f_D3gksSqRFdgbkE7_15RncJt4HtYSmkXdwB9AIJ4pZZE-qDgCb_ONeNCKRRrpzjqmrZBXdNVHXSgCayCtg5E7ziCbbr1tXaNRm7Ko3L_S3zMMagNfDK7kV7ShL507qfL2iMWARmkBHe5OM-80O_PilVpAtfMJVNugX9_JznI-ckdkjUXrYru7AHrUaAr5LM=&p=4&fvj=1&vjs=3,NOT_FOUND
6,p_cfcd8496032d7357,Chicago,business+analyst,Salesforce Business Analyst,OC10 Inc.,"Chicago, IL","Salesforce Business Analyst*. Currently, we are looking for a Business Analyst. Partner with internal Business teams to develop roadmaps and define business...","
                $30 - $35 an hour",https://www.indeed.com/company/OC10-Inc./jobs/Salesforce-Business-Analyst-cfcd8496032d7357?fccid=3b760780a91e6e3e&vjs=3,3 days ago
7,p_618f8c67575f3f1b,Chicago,business+analyst,Business Analyst I,Talent Table,"Deerfield, IL",Contract Business Analyst I. Talent Table has an opening for a 6-month*....,"
                $21.00 - $21.43 an hour",https://www.indeed.com/company/Talent-Table/jobs/Business-Analyst-618f8c67575f3f1b?fccid=b355741103e7197d&vjs=3,5 days ago
8,p_595cc21eeb074f8b,Chicago,business+analyst,Security Business Analyst,BTMG USA,"Chicago, IL",One of our TOP Banking clients in Downtown Chicagois looking for Business Analyst to join their Security Technology Access Control team.....,"
                $50 - $60 an hour",https://www.indeed.com/company/BTMG-USA/jobs/Security-Business-Analyst-595cc21eeb074f8b?fccid=cf1f1dedb7946d95&vjs=3,3 days ago
9,p_1080f379e5d445ce,Chicago,business+analyst,Business Analyst II,Trusymmetry Inc,"Chicago, IL","Business Analysis, Systems Analysis, Project Management, and/or Business Process Improvement. Gather, understand and document detailed business requirements...","
                $50,000 - $60,000 a year",https://www.indeed.com/company/Trusymmetry/jobs/Business-Analyst-1080f379e5d445ce?fccid=cf428cadb03d1c1f&vjs=3,6 days ago
10,p_7f2ea30299b9ae0e,Chicago,business+analyst,"Business Analyst, Industrial Products",Right Choice Resources,"Roselle, IL 60172","Experienced in business process flows, business process modeling, case tools, business analyses, gap analysis and organizational change management....","
                $60,000 - $70,000 a year",https://www.indeed.com/rc/clk?jk=7f2ea30299b9ae0e&fccid=d7764b540adf416c&vjs=3,13 hours ago
