,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_0a0530ef5a2cecd5,Chicago,data+analyst,Logistics Data Analyst I,Source Alliance Network LLC,NOT_FOUND,Compile data from multiple systems while creating customized reports. Responsible for collecting and analyzing carrier data – running various mathematical...,"
                $40,000 - $50,000 a year",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CuzP3rTKiGoG997K1YSeu7hyNzmiuKZvTqcnN-hTJq8nKJ9Bfw8NA9bpIZJnwpEnrn4j5uybAR86E6iKdXxlAJ7R61d8tSwQEWh6MG13NNqiZWuE7bszisHAAma03XFOCkSWq7ZYUgGsLM4A-MNz4Sg2uij8B87elp1PS8HEJn_NZGdM02_hMdJPF5e6tXnItESk71sbdw33yuLWUdEHC_oDaW1IBbsHhCvRAzZnLsaXzn0oupN3lUKGc4uGogzdIG39Yjpyl-YcotiQaF8E0XU3uS3uyVtLB62hxf-MglMYT6HYA5I1bXlhw0Dqh7cdp4sM8-rJGxl8uummKqE9ong1heeUSSXGKjrd2xFiRFZetCr1XCH5ItSIEAlciroeu3a_io8GPhe8t2IS-9Zik92mr2CCQ-QC_qxsCDRvA8DFLnEFmSDbiB&p=0&fvj=1&vjs=3,NOT_FOUND
2,pj_59a4c014265cfa51,Chicago,data+analyst,Data Analyst,Illinois Network of Charter Schools,NOT_FOUND,"We are looking for a Data Analyst who can quickly understand the current needs and data resources of INCS, manage ongoing data requests from internal users, and...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0hwHIZZEIJwUqWiMUs8rFbENkyWQR84LMT-XL1D3tmkWPzlC9liqoIR8gm7MDjT31YOg0KSsMeQYoBI0cCH5Bz40jpE4R4hWCXbIqGuVxPigCi272xH6N7b0iDDJIiopUUMeFMhm8jMFzb8f5hhwZVnQef-Y_5wtfU4wmXKvD3hrEKfjvMDX-j5QJwajLJP_cSE5xd0ehTuaDaz-AThs5fISBXEHAHhk6SzJuuXFgFAAposR6yl2UUaQzm_E2W93RBzh8luLShB58QHA1urd1-1jqLPNJNZujLbWGAScRfZ78cRQoLPBlgVNtSGQxWjDgsbA_K1F8zDTCZTY5m19cYh0Z6nncDKBRKuEKR4l3kgKzKrtZhIp5oaXhAIeZ-1522WFETpV8IbWi2ghj0cEVV3NDXTcPmw09mwv4yUAIdg==&p=1&fvj=1&vjs=3,NOT_FOUND
3,pj_7fc8a2310d66831e,Chicago,data+analyst,SAP Data Analyst,Accenture,NOT_FOUND,"Technical experience with one of the SAP Data Management applications, SAP Master Data Governance (MDG), SAP Data Services (BODS), SAP Information Steward, SAP...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CV4holdffd831ZKQhR8rczbMi0923Hh_m8CV6wbSqk2AAIzE4yv5ChlJmW01BcmkC8KTClVfPw44EbM8UBSRR_lyIPRI0wEEDZf7oSRJVrolpDCgQNZh1aDiOFTb0-5iHrk-ugwvCy7AP_BYIVz3oNjRI99bCjQXLjlnS8t0NAR8Mj1wUUTAaQLd7gLGuDqUKTqepG8yaBoniTQVjPA8J9EdEt30xIGkFOFgDPDoy363-X1_A-Z2-EozzHDHL-_K1Zooq6Z5AzHCpefRU4n9ttdGN203pqYDWXVx-p21KCQf-LFJ6nmboq0LasveWVyqBdSV0uuULkR95EFlUTOGUCx9_z-fIkWTsCc8t25MPwrz9Y-tbWjkRkAXWx3LMmGZIGVgoV6u0BjxiQirUFm_Xmu25vx-bWh9CLyNzXTb9pbaFtfcPbOMg8pnaMPdm7vT4=&p=2&fvj=0&vjs=3,NOT_FOUND
4,pj_de154c54da69cf88,Chicago,data+analyst,Investor Reporting Analyst,AHP Servicing LLC,NOT_FOUND,We’re recruiting for an Investor Reporting Analyst for our finance and accounting team. The right candidate is going to have prior experience in the mortgage...,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmsSSTjRHPjlFXSqQFPmCKoOiJhFF-v8EZH0nFAvmX_SjzFVJxu_E_eB6X76_7767AiwYt79AzKygrnaezU1ucGkXiJLABr4bxTuFbmU71Al4g6f7CzDidn476ls32nJ5QacbhG5a2gwjZgaqqCvblDaB2bct1EP-Zecd7UC1H_EdmvKKhha4ucRGcNhsnzSANM_w10zxaHUItP7KxVASY5jzabMq9CWaQYReVGz9A1x995Dy8GMm9M3li9o3QmFkuKUTfq3xcgRbivVdktMg0eXh6NF9fIIZqoIRmwUF5Vi-_6SvsQqTXOUI8muBsdVnpfwZDI6lifvvl2S5mGQKZxhj6jx1AExDfomuBiAX5BC5vKo6tMjpQDOW1aY__1eVf1S_M-RF_HZmjJCI70EN8B-hMlBhdyXOQTtSbh7914SbKIdNcO6oNrgEAcw10bBmaoFkDsfEVyQ==&p=3&fvj=1&vjs=3,NOT_FOUND
5,pj_fd3fd63266f9b754,Chicago,data+analyst,Quality Data Analyst,NJOY,NOT_FOUND,The Quality Data Analyst will support complaint and CAPA investigations as well as support other functions of the QMS as needed....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2fEec5Dd907_gSJv_atvtHPPoGWk0pTScBsEhsxdG2S4rINDikX-Lj6mdj54BrwUDNigHnxm8pgfpmJKRrei-SZVTHOoHzchiWrFlWHGekhLPsK8hlb1XmAl3Jgyxch3yzqpAOQ0bBKpPke0fuJpJ_28s_p70F7x6RRWMPIfd3vuV2yDw5ERgHZC6_15dbF9_hg59UDKhVNUBVS3Ix_mP4tSlb_hKZuuAUBJEspbth4yShpU98bhdGwtpMFN0o_wDW0zDGRyXqa1WbdZuhzQtOHC4PbFbOvr6yXH6rb8Yakqgbb-pUtwhM8XJKXIlji-wphfQXJxU9ALePbpJcOSokIM8LnWOo4b57C47LYN2VaD8JEK6GvZ03iIrsyfl-EO9E4cczAO75BDI6aArlAuM1d-b7dcfrQoS-5PR2Qp-3S6pYJ2h-Wbs&p=4&fvj=1&vjs=3,NOT_FOUND
6,pj_68d2195c0aece77f,Chicago,data+analyst,Compensation and Data Analyst,Archdiocese of Chicago,NOT_FOUND,Minimum two years' experience in a compensation and / or data analyst role. Audit and ensure data integrity....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DLHxMcwhdrMGdjHv-757c0WW0vMLIg5z0BQE_o82uTzdSmc175B_5YA9aiYgLiZo8n4Umw1r_K5hCQUHXcbuP84aw3zoWizNPSqmE3xUuA8w_sApBY31VJi-xYx4CBfpoRW8JRTh8p3J7ed6UJwO3WFFQiOksWf2UlG3hUhquKEvYJ-u643C6_joPIgZWVR-B51o1b2K6MiLOgKlPHe87f8dTy_RNU1hV5zzcjtSJJwXH-HmvfufpPxCjsJJFZuEzK-KiK8Z3oGog9YQ5mK5y6YXytAr8tDHdtBh205roR4yAr8jgbWvkoVQY2Uy13kAjElJW8oq-fDheyepZ_ZQ9mXFuaDH_2PSI5dut9DXZbDWDcWFJeskjLzeIwZM3wKrTF9-h7aKRgH7CyfGWuQQC2duSrb6PvWPDiqbReZ4hoBPhGxmHONOBkkEs4zrf86mA=&p=5&fvj=1&vjs=3,NOT_FOUND
7,pj_d14b0b95df87b8bb,Chicago,data+analyst,QA Analyst,ArrowStream,NOT_FOUND,"The Quality Assurance (QA) Analyst will actively engage with Product Owners, Business Analysts and the Development team daily in a fluid workplace environment....",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhMTMk20mPf7XZKEahQYpa-UXuQaIK8Stqvqironw0MY4NZWIG4-4Bhh_oT7EvgFnkatIm1fU8a--ircmfQlhBNhmpnyRgTVL-D1eekjvbZpi3yOC9Nw1L1ezAx2S_z6pA7pgsAPcBvXGiTDzF3uqztFZZkKz_xTY4RmvUYy3ICwiCuEnXxQxXpVXB6nsmbRhW4Q570pFGLbMqznCCZtxDtF5woZioKTD05W1YrUksJaJZwGYy2BiRTBOY7tbltCHqueW9LvSjMgo2i6x7M2s94RSAF5toZKxpzDbdWxif8fzTaTlFPex4pe9rC4UhDBQ6pyF8wge2-ukQ6AoV-dKZ-JMkRaZFzG_yX-kHcsLvZ0SPZmuoqgP9ABex0iwZZi0hJINl7cqHxZHqf3A0BWXFcPC9dY3iSIfFK2k7VxIS4g==&p=6&fvj=1&vjs=3,NOT_FOUND
8,p_e9004adb0fcd3fb5,Chicago,data+analyst,CMC Data Analyst,"Blue Cross Blue Shield of IL, MT, NM, OK & TX","Chicago, IL","Experience with data discovery with large and complex data assets from varied information sources. Experience with data mining, its concepts, techniques and...",NOT_FOUND,https://www.indeed.com/rc/clk?jk=e9004adb0fcd3fb5&fccid=f0982fe98d8ebba0&vjs=3,6 days ago
9,p_0110b0880a83f71a,Chicago,data+analyst,Junior Trading Analyst,"Investitute, LLC","Chicago, IL",Analyze trading data; This position is designed primarily to assist the lead analyst in data analysis and the publication of information that affect daily...,"
                $40,000 - $60,000 a year","https://www.indeed.com/company/Investitute,-LLC/jobs/Junior-Trading-Analyst-0110b0880a83f71a?fccid=5b16b47af6d64cd1&vjs=3",5 days ago
10,p_8926485e38cdf5d5,Chicago,data+analyst,Microsoft Excel Analyst,Right Choice Resources,"Chicago, IL 60290 (Loop area)",Experience extracting and standardizing inconsistent data from disparate data sources. Synthesize raw data into digestible and actionable information....,"
                $60,000 - $70,000 a year",https://www.indeed.com/rc/clk?jk=8926485e38cdf5d5&fccid=d7764b540adf416c&vjs=3,12 hours ago
