,job_title,company_name
902,Quantitative Research Analyst,3
701,Investor Reporting Analyst,3
38,Analytics Intern,3
350,Data Analyst - Programmer,3
140,Business Analyst 2,3
1065,Solutions Engineer,3
126,Business Analyst - Chicago COE,3
127,Business Analyst - Entry Level- College Graduates Welcome- at Net at Work,3
907,Quantitative/Data Analyst Intern,3
494,Data Scientist US (m/f),3
353,Data Analyst / Data Scientist,3
119,Business Analyst (Digital Health),3
503,"Data Scientist, Analytics",3
109,Bioinformatics Data Scientist,3
29,"Analyst, Data Mgmt/Quant Analysis",3
725,Junior Data Engineer (Contract),3
171,"Business Analyst, Sr Associate",3
1069,Sr Business Analyst,3
15,Analyst Clinical Data,3
354,Data Analyst 2,3
510,"Data Scientist, Insights & Analytics",3
163,"Business Analyst, Market Performance and Strategy",3
636,GEOLOGIST/ENGINEER – ENTRY LEVEL,3
410,"Data Engineer, Hadoop Developer",3
468,Data Scientist - Manufacturing,3
486,Data Scientist I - 2117.051019,3
958,SR Data Scientist,2
844,Power BI Visualization and Analytics Analyst,2
389,Data Distribution Software Engineer,2
381,Data BI Analyst,2
382,Data Backup Administrator,2
42,"Applied Data Engineer, ETL",2
386,Data Center Support Engineer,2
982,Sector Data Analyst - Industrials,2
375,Data Analytics Analyst 2,2
347,Data Analyst - Intern: Sales and Marketing,2
328,DATA ANALYST (Grant Funded),2
999,"Senior Associate, Digital Intelligence – Senior Machine Learning Engineer",2
830,PROJECT MGR/BUSINESS ANALYST,2
997,"Senior Applied Data Scientist, Commercial",2
995,"Senior Analyst, Data and Analysis",2
624,Financial Systems Business Analyst,2
622,Financial Data Analyst,2
343,"Data Analyst - Boston, MA",2
344,Data Analyst - Business Intelligence,2
345,Data Analyst - Community Engagement,2
985,Senior Analyst - Business Operations,2
374,Data Analyst/SSRS Report Developer,2
836,People Analytics Data Analyst,2
981,"Scientist- Product Development (Gum & Mints)- Chicago, IL",2
837,PeopleSoft Business Analyst,2
614,Field Engineer,2
361,Data Analyst US,2
362,Data Analyst at Sterling Planning Alliance,2
611,FINANCE BUSINESS INTELLIGENCE ANALYST,2
370,"Data Analyst, Payer Data Services",2
36,Analytics Engineer,2
968,"Sales Engineer, Data Management, Google Cloud",2
