,unique_id,city,job_qry,job_title,company_name,location,summary,salary,link,date
1,pj_fbbeed55473dfd05,New+York,data+scientist,Data Scientist,Disney Streaming Services,NOT_FOUND,"The Data Scientist is a critical position within DSS and in the Data organization who specializes in applying machine learning methods to meet optimization,...","
                $98,000 - $145,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C-wIR9HnnWAb3omIwSft6ef7V4Na-alUKjTpWUiR2p-idA4MZ8GyHBWmojlZOPCJN0ZZ305jfMSnbhvoQ2KJvqjvZLAWs0-HErhRTrtI4PEv2BKTshfH0jXreUxAaogcpjFoQsNtHsBXaw-K3inwFewUeArHHjvFHQdwfN0e1g_tjEdrYo2VHNXAHcSBXHzrn26qul42Kd_mruZY38ekLJyJ6-Qe_NaDWL-KRQxCO8ztW96YY46ny511FHWUsuXlKExUIHl7qFdlpxFQDdeWwu8vbfs2Mm-Q0Rqp3cpiNoELYAyiJWsw4TNthTy1Hnu8pv6GidmJuh1TXLLD0gxxACdnIYC5mv0JuNIWcEw6GtMSbyBT5GrfMGI-965EOVSA4iB_2bu2oVQHaklocVbCXnIhZzcxKtlYOFXAi5qx9jXUl3vBPPv37ffRQkO-laNR-Mv57TQWlsIq1tD7v2ZoPn8GBPkNvBO3GblJJUvViwyw56MDJm4ZvcRZBtDLGlD3fkA-qP3fCA6fg5scBfBcYzBr0vpflXa8JBQ5VRKGIQdA==&p=0&fvj=0&vjs=3,NOT_FOUND
2,pj_a1ed08a0de3309ff,New+York,data+scientist,UX Data Scientist,Bloomberg,NOT_FOUND,"Work with UX designers, UX researchers, data scientists, machine learning experts, technologists, and product managers to understand the problems that need to...","
                $98,000 - $145,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ab67y_gTDH9tSaT0HLOcX4Q3W4UsL2WfVRyJV-qqww-S_SOAUpqHEOp-BmnzQ8WvSltgCrUhgNDSsg7TrrP_PphI4H78Oeo5QwD6jW3U1xxJdvRHtpGDoM03yg7eIgvZT8jy6ROEexRItScnEM3ByXA8_CGwvuwIXU4J_6d3FQBqiWeafv8USdK3aD17v_89KpnN2tGoh_3e183Lk0cipXyNLtJatQeA3gd4AC3b9r5yjFfffAe0mBbMLEt0PsjySHv-iYxBmJgtMp0PQ6VINSS_Z6P8f68Z4-jIG_5PVLJgJsyY5XS2QC6Khi9DhYbpZBPb44KITQLjN6WrZwTP8kdXznFXufyXyR6cwRbvrOp7nmbxoLVdTQUgN6MBSMKLgI7InQC8Ke2cojLWasYKZDuhblqsyiNsrawN0Rd5cn6quEZbPExXvl25_ZjeCy_qB9rPTousGIk50ROEfcGtnSG22x6Xp8LJrancKdUQrAzoOBAhO-B7MC-Z8W09h20IHlqMNk5uiwTuTeH6dk1nipHqdAYubz5i2fIHqmNrv8hP40vDzAgl7eiX41-YW9uC3TvpuMUogem5WWYPUcglW7ouixSEUrBsuASI__mMafWRotrA6lihxo-LnxE-U9sCt01UjRa-FHGhePJ295ZpXLpB5jcuozMYQ8YDQWD4bxxjqiqDTmW6XhJHTZCyR2CnX8liQyjca8Rys7bKAuibJN7oc4cNJEOLvi0lMKXuRzrSZLyyi8Rnpg&p=1&fvj=0&vjs=3,NOT_FOUND
3,pj_12adf1fbffb84f55,New+York,data+scientist,Data Scientist/Data Science Instructor,NYC Data Science Academy,NOT_FOUND,"Train in-person or online boot camp students, the next generation of data scientists, on a wide range of topics ranging from statistics, probability, SQL, R...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A8aKXix6D0QrOaRp04NE0isoTv0iVbATKVyqNdtbwMjm8velvtCUdrNHPuHo2hUC3vv2iLEFNYXH4Ul7C_6Zv7Fh_-w9qkixcoFvA6gn5NcGMGCf6mfXg0tOGeG3qAE7o3E5moKx0a6vbyDNsnm4aSwIBYqXkKKXLzWph02whkjKqwnsO831yZgAPylY6GsHJj8xNTWFQVD8CHPf08eODosOm7FOImyhElvyRmfUTqPl3XeXVpIhjeanAoynOoijufcHbAw3D-9DfrOU4kMNPMFsU9nhXlaUieGeepmdD8hbj1FccqgCSX_CMWeFFkhHCnTEoj6jxtN9u-vA9NODBNqZQUY01HKlaeng5P3tv4lTpJyI4-RKcDPG6VFpV2XNL3KR6LB6M2swsMUswJdHHJzYsdzRgLxZbcrzcj0C1Cwc_DEK6UjCYw4soYn1zF098BwO6cBcrW4g==&p=2&fvj=0&vjs=3,NOT_FOUND
4,pj_6ddd540d038bd0bd,New+York,data+scientist,Data Scientist,VISITING NURSE SERVICE OF NEW YORK,NOT_FOUND,What partnerships can we develop in order to ensure that our patients and members continue receiving optimal care?” Analysts in this functional area serve as...,"
                $130,000 - $191,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D-LApaq2L9rnDaHeoUAKRQIyyWUq4ycn_2NW-DvbOEzboU_3-Siam9l6vSn8T_UjKaRgOz2RRsDbjGjyseBy0mI2R4p1AZS37FBlDCl-dOh-sjTcaOKcvgdyt66_dvp3MUW-zm_pAZLaFbmVNpbSJYuQipYG4ZLmIVBQ083Bb54LzIchJ92xeD-WnRArk62V03KngdlE0mbnZjLhJynyCkcFcpB9qMMA2MDOFckcA2lmvFNR3bVkTtlN6O53zFR-A41dspMQoDnobsFJ-nf6CgjHD67xLYNjRstquRkjCs7eX50q6-wIskG_EzOqmqcHRW0iYmrFBZl7cOlDi1Y44o6cqolCGxIkKR71UD9KznnA1kQgncpl5pJ4r4ozfb4SwVqWyLdWZwVZM8eK8IVIZrVc2PASaip1m4DTzsb2Ux6xdzj5q5anA9K4QyG93c4IOs5p8bfAl0lqU0E0cXs05S_jFRIq179FhxzmJnVeIf9QrOx1dnn2a6f-udvuxwyJFo5oFyhHat3_zaFQWdAMWYfl1AOkNd8Kc1XhZ_LyQ6DJnPBmUQqLPxscO78ajFAgdK0HVDlgyBOJUeHG-X5U2HaI25xZRcyTx0PjgoabbmdTC-bRj8tBmdxwztonhys80-x7I0D3lFORrUtrsvy-2efy80gtKxhgIcX3BcV6zkzl3igOhuX5tetQPPySRoTrxo1MwYHvTERJiD_EVIPTxwnAqPoHoy94-PfYD67v2GKhRNy8Urv9gkkA0zOGYZzLuYYz6W94Ctd1fSX6uZ_aOIEcDkPCeuws2Rbq8uItdXQg==&p=3&fvj=0&vjs=3,NOT_FOUND
5,pj_92c5bee232ab896d,New+York,data+scientist,Data Scientist,Verizon,NOT_FOUND,"At Verizon, Finance is leading the formation of an advanced analytics arm that delivers world-class insights in driving business impacts through a data driven...","
                $123,000 - $182,000 a year (Indeed est.)",https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfBIsGsYRQY8mGkDu8NVbUmhWT4eK7Vsg3lLkWDC3f5LZwXjArEL-wYXdYW-z1YmJN3T4IaTAWNTW3BBELfUb83120QkjG6H09rdOCVvXMAB-ZARRM8kcn87e2D7ri5j6aJtAsd26OA_SyBH2yOVnVl1VfuTlAyqYORXeoGqWHlbuGo4l7WNdYo4BQ3YVnbVKrTFaAld308XeXmOnVlcVy9jsx0YRILAeKftcKMlxKbIed2vCHftiXexdcMFVgb-jrBJB1ro9byDTFLBigyAouEJ8pYw9g9REQON6plHrny4db8FcuDpjI4j_taNv0uuY7oxZQsg1-lbf1LqfquyM5WkdxDtq-YYG2jUrN8nxrL0fxtDfwg3GWWfwttXvqge338gcRW-2PFXqUn8bgUtEd2CDYs-DF7WFzCoNd2MOc-RMhrUvnx1W3cqNXFsh1lxLvjWcv3lQ5DgBBH16GvHjK_zIMXMXGXNmqXIZLCebYQk7IzUJ_dA9YfgnPKnwcNBA=&p=4&fvj=0&vjs=3,NOT_FOUND
6,pj_368733fd81a7abe8,New+York,data+scientist,Cell Biology Research Scientist,Ichor Therapeutics Inc,NOT_FOUND,"The ideal candidate for this position will exhibit not only robust scientific proficiency, but equally strong teamwork, organizational, and communication skills...",NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlcCbMDWY2EJCVFe7FvKc3ZIHUgudfElTwFyj6GOhvqmUsQBPoe6b4l0Okl2EBGZfsFCcnOmaImwZ7IwX1oVdkNx60ufytif1EUnxDwSCRwwUD76kIoAnTAJPaDrPnKy94ZS1bjDuR9G6yKCy_4Ag3mXwLyzNHHIpjIb5jfCJ-XbVMZ1EOIPAHxpJibxmYhKZiLdI255ShvmY-98-l6fwSbuPCH-EVBUpA-3UgVF5borc1pbyUKlTa6nIL5gusvQlJPm_-yb28xFupQ_BIF4SvL-hdegNfGrY_CrxoRoUh9q9JirziGmawNRLym2Fbl5R_6LZUY_umAENdfly0p5kcL1YzdrOtGnDfJKA-69aacby4xVhGRUkvP1PASOB0Lo6CCK3FCv5vxK9JCJ5Rcpq0_VGsktqFnsHBY7Iqt22Iop8Fb5iI780sJIX6eJl6S4t5_TQhDpAbDEjzwoDhU5be&p=5&fvj=1&vjs=3,NOT_FOUND
7,pj_7b3b2dd4843fb1fa,New+York,data+scientist,Senior Data Scientist - Hux,Deloitte,NOT_FOUND,We’re growing fast and need brilliant Data Scientists like you to fuel our continuing innovation and help us scale. Hux Senior Data Scientist....,NOT_FOUND,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIXU_djF9v0NrX_xbLRwj6RWFeuMEgTY6VvwKgvleOVN2aNd4LWgpetAhtYQED-V5TMToKl_a9inTYJ1MIkCqP-WptmcOYvrfbD-nPNDsPDBo_fh2EtFtOjqF5bWgaD-hN-fjswdFNJ2afh-ha9bJ_6Q9ctOq2w6PhkyIDycCypeC7Z1viyKAZ_AtUDGckwk-HSaorJ7WF7fpzhCCLqyRJVqEAshp1YYttPkP52SZkn6AG4Io1WXBgnDfiCRKCNf0XYLQ7nQjjTT4OcNGWKv1k_friKwLQMbRdwyM6-0rTqeB9jteBWcCrxM837ilqvigCRtXZhNiOfFIcUp7JFAzzTo4WIar_5Vc9-SsI1mS8YZy-Fubqrjg-6uuUFVLMK2THIONBfYQyWKy61Am5ooWF-OPLO7tcMNAGMxDtB3JJlMjYdzI-9idvPoS92FJMovyZG7o1BUYiHzwNSkOHqWHW7a7cuZuzUrLHciYCa8Q5oT8esUYEvsSmSkxOfrl3vTRIL3RovugFgw==&p=6&fvj=0&vjs=3,NOT_FOUND
8,p_0eea9b6f46bc88c5,New+York,data+scientist,"Data Scientist, Insights & Analytics",Spotify,"New York, NY 10011 (Chelsea area)",Working within a team of data scientists and engineers — and partnering with other technical and non-technical stakeholders across the globe — you’ll be...,"
                $121,000 - $178,000 a year (Indeed est.)",https://www.indeed.com/rc/clk?jk=0eea9b6f46bc88c5&fccid=fe404d18bb9eef1e&vjs=3,53 minutes ago
9,p_5a5c2048635ac7e1,New+York,data+scientist,Data Scientist/Machine Learning Engineer,F18 consulting,"New York, NY","Data analysis, mining and analyzing data sets, statistical programming languages, Experience with Machine Learning, hypotheses based on brokerage metrics,...","
                $80,000 - $120,000 a year",https://www.indeed.com/company/F18-consulting/jobs/Data-Scientist-Machine-Learning-Engineer-5a5c2048635ac7e1?fccid=8aa4719115e3594c&vjs=3,2 days ago
10,p_d5f555b77f5dfdc5,New+York,data+scientist,Data Scientist,"Open Data Science, LLC","New York, NY",Work closely with our Management as well as other departments across the company to identify and execute on a wide range of opportunities for advanced data...,"
                $83,000 - $122,000 a year (Indeed est.)","https://www.indeed.com/company/Open-Data-Science,-LLC/jobs/Data-Scientist-d5f555b77f5dfdc5?fccid=81cbac83fa5c2c0d&vjs=3",4 days ago
